model_type,alpha,l1_ratio,max_iter,rmse,mae,r2,rank
elastic,0.9151940495951495,0.1944048212954999,1000,1.766091786987427,1.429692212092715,0.03625009267567547,1
elastic,0.1845324136835189,0.6196343668829284,10000,1.7701478599761529,1.4450923459651255,0.031818240582698665,2
elastic,0.2084902581370163,0.5321738134228949,1000,1.770574777826847,1.4456828172893768,0.03135117912600771,3
elastic,0.6503096763251794,0.4220210843921136,10000,1.7736981071116908,1.4282920724053603,0.027930733169078237,4
elastic,0.19351539171838414,0.365326275341614,1000,1.7815209210684608,1.4566761471541148,0.01933729075373336,5
elastic,0.23658415962151333,0.2680942207521716,1000,1.782605931969726,1.4576220254851384,0.018142408635009488,6
elastic,0.12824206374718136,0.5492756061697553,10000,1.7836474544147636,1.4578693464125214,0.016994734383801058,7
elastic,0.6162067750143881,0.6142452728689389,1000,1.787249232132846,1.4305213638253143,0.013020696527176079,8
elastic,1.6318568037459669,0.2227303059112704,10000,1.7910308933939487,1.433398840081253,0.00883955595985475,9
elastic,0.6450522349872588,0.6271214452598858,1000,1.791821885746754,1.4339858263988092,0.007963888814406683,10
elastic,0.7927712643161493,0.504282934590261,1000,1.7918446768926477,1.4340026670578978,0.007938652172624905,11
elastic,0.12213698792686403,0.31013578826438765,5000,1.7945913613340574,1.4650512476033186,0.004894897362864525,12
elastic,0.09032411307224579,0.4259263050837484,5000,1.7960669080893783,1.4653576797352144,0.003257836381862722,13
elastic,0.18321798573754636,0.11224846930152435,5000,1.7982084448784863,1.4684284577498494,0.0008794922653859727,14
elastic,9.604532677686176,0.6325204005007679,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,15
elastic,8.053017532142448,0.4010074634643376,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,16
elastic,1.624761506637931,0.7304281196600176,10000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,17
elastic,9.98612453940231,0.10174731428579903,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,18
elastic,1.4024650876742688,0.5077808602305438,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,19
elastic,0.8311780718602069,0.8109972134510504,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,20
elastic,1.5624783925061434,0.6657826626683386,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,21
elastic,1.7277391635930137,0.4034267133820356,10000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,22
elastic,6.186232938055611,0.30684581091219676,10000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,23
elastic,0.04116267414560554,0.894862538255375,5000,1.7999801510372933,1.466778805570516,-0.0010902682388571616,24
elastic,0.07336659743534185,0.3893328665560343,10000,1.8008280708711435,1.4685553922463561,-0.0020336611165137075,25
elastic,0.09684154040831368,0.1986547928602338,5000,1.8029384424809103,1.471330875157922,-0.004383582800485453,26
elastic,0.03416264236504437,0.7697295713560205,10000,1.804674286705981,1.4702257723340244,-0.0063185270973122876,27
elastic,0.031906920314925674,0.7050480775842353,5000,1.806409628006496,1.471580554696375,-0.00825477201661351,28
elastic,0.02571088140981439,0.6781468595795893,5000,1.8088670121625416,1.4736387970599696,-0.010999835523989976,29
elastic,0.018290008098410783,0.7311560991479414,10000,1.811126180275771,1.4753702961126853,-0.013526770757726014,30
elastic,0.030030644842224126,0.22763196535073887,5000,1.812637375316094,1.4776443599669549,-0.015218840190587946,31
elastic,0.009421354720707214,0.8453273998072153,1000,1.8141693858505379,1.477663630178276,-0.016935657074934385,32
elastic,0.005177011826426507,0.49442410012704185,10000,1.816492979333494,1.4794889730833478,-0.01954231367194237,33
elastic,0.006025414803094375,0.35078188787716036,5000,1.8165624218235459,1.4796142819629228,-0.019620267081147613,34
elastic,0.004704054994634163,0.5098084511010085,5000,1.8165991938202124,1.4795486461963856,-0.01966154708572665,35
elastic,0.005700889719255872,0.325437880317194,5000,1.8166888357860895,1.4797027783945713,-0.01976218207570679,36
elastic,0.0028057363082317575,0.7795715439428442,5000,1.8168737363391707,1.479650131034605,-0.019969773142707536,37
elastic,0.0023688173392303856,0.8640505497009893,5000,1.8169698814667288,1.4797025317040522,-0.02007772529885621,38
elastic,0.004160486713060527,0.34094046959788704,5000,1.8170032797246676,1.4798681107855916,-0.020115226341057557,39
elastic,0.0028881726404219295,0.5705008523742839,5000,1.8170563970561804,1.4798193436903182,-0.02017487025175746,40
elastic,0.004201517204119559,0.29475409341232855,1000,1.817062860376028,1.479924021338646,-0.020182127845109532,41
elastic,0.0027578404147649053,0.411612820756327,1000,1.817253253370929,1.479984067241823,-0.020395929701898963,42
elastic,0.002566425833062881,0.42839897095790347,10000,1.8172855003015875,1.4799982471753603,-0.02043214361833856,43
elastic,0.0031208000884051317,0.1989526804910086,1000,1.817404876903251,1.4801296516570193,-0.02056621140517878,44
elastic,0.001626685425747269,0.6006729559859006,5000,1.8174281033437243,1.4800531337071834,-0.020592297251133207,45
elastic,0.0014197004279296731,0.6829096178535192,1000,1.8174534195226106,1.4800596057285873,-0.020620730482768135,46
elastic,0.0022871177147018016,0.30546403018014817,10000,1.8174581936197816,1.4801296951995209,-0.020626092434705035,47
elastic,0.0013485997870606441,0.6946823164560099,5000,1.8174740157766,1.4800721760060214,-0.02064386294126863,48
elastic,0.0016147118040557246,0.19091683095737555,10000,1.8176743031463372,1.4802582730453173,-0.020868827190249295,49
elastic,0.001375950591488059,0.2017799095496086,1000,1.8177082282506172,1.480274327184236,-0.02090693457236381,50
